ad_type,impressions,spend_usd,geo_targeting_included,CPM
Text,10,25500.0,Oklahoma,2550000.0
Text,10,25500.0,Alaska,2550000.0
Video,1001,25500.0,Delaware,25474.525474525475
Image,1001,25500.0,Alaska,25474.525474525475
Video,10100,25500.0,Nebraska,2524.7524752475247
Image,110,25500.0,Kansas,231818.18181818182
Image,110,25500.0,Maryland,231818.18181818182
Text,10100,25500.0,Rhode Island,2524.7524752475247
Image,1001,25500.0,Oklahoma,25474.525474525475
Image,1001,25500.0,Maryland,25474.525474525475
Text,10100,25500.0,Oklahoma,2524.7524752475247
Video,10100,25500.0,Kansas,2524.7524752475247
Video,1001,25500.0,Vermont,25474.525474525475
Text,10100,25500.0,Vermont,2524.7524752475247
Image,1001,25500.0,Delaware,25474.525474525475
Image,110,25500.0,New Mexico,231818.18181818182
Image,10100,25500.0,New Mexico,2524.7524752475247
Text,10,25500.0,Nebraska,2550000.0
Video,10100,25500.0,New Mexico,2524.7524752475247
Text,1001,25500.0,Nebraska,25474.525474525475
Text,10,25500.0,Delaware,2550000.0
Video,10100,25500.0,Idaho,2524.7524752475247
Image,1001,25500.0,New Mexico,25474.525474525475
Text,10100,25500.0,Maryland,2524.7524752475247
Video,1001,25500.0,Nebraska,25474.525474525475
Video,1001,25500.0,Idaho,25474.525474525475
Image,1001,25500.0,Arkansas,25474.525474525475
Text,10,25500.0,Vermont,2550000.0
Text,10100,25500.0,Connecticut,2524.7524752475247
Text,1001,25500.0,Arkansas,25474.525474525475
Text,10,25500.0,Kansas,2550000.0
Text,10,25500.0,Idaho,2550000.0
Text,10100,25500.0,Idaho,2524.7524752475247
Video,110,25500.0,Arkansas,231818.18181818182
Text,1001,25500.0,Kansas,25474.525474525475
Text,1001,25500.0,Hawaii,25474.525474525475
Text,10100,25500.0,Nebraska,2524.7524752475247
Video,10100,25500.0,Rhode Island,2524.7524752475247
Text,10100,25500.0,South Dakota,2524.7524752475247
Text,10100,25500.0,Delaware,2524.7524752475247
Video,1001,25500.0,Hawaii,25474.525474525475
Text,10,25500.0,Maryland,2550000.0
Text,1001,25500.0,Rhode Island,25474.525474525475
Text,10100,25500.0,Arkansas,2524.7524752475247
Video,1001,25500.0,South Dakota,25474.525474525475
Text,10,25500.0,New Mexico,2550000.0
Video,1001,25500.0,New Mexico,25474.525474525475
Video,10100,25500.0,Delaware,2524.7524752475247
Video,110,100000.0,Alaska,909090.9090909092
Video,10,100.0,Maryland,10000.0
Text,10,100.0,Oregon,10000.0
Text,10,100.0,Hawaii,10000.0
Text,10,100.0,Arkansas,10000.0
Text,10,100.0,Maryland,10000.0
Text,10,100.0,Vermont,10000.0
Text,10,100.0,Connecticut,10000.0
Text,10,100.0,South Dakota,10000.0
Text,10,100.0,Delaware,10000.0
Text,10,100.0,Alaska,10000.0
Text,10,100.0,Kansas,10000.0
Text,10,100.0,Oklahoma,10000.0
Text,10,100.0,New Mexico,10000.0
Text,10,100.0,Rhode Island,10000.0
Text,10,100.0,Nebraska,10000.0
Image,10,100.0,New Mexico,10000.0
Video,10,100.0,Hawaii,10000.0
Image,10,100.0,Alaska,10000.0
Image,10,100.0,Idaho,10000.0
Image,10100,100.0,Connecticut,9.900990099009901
Video,10,100.0,New Mexico,10000.0
Image,10100,100.0,Hawaii,9.900990099009901
Video,10,100.0,Connecticut,10000.0
Image,10,100.0,Delaware,10000.0
Image,10,100.0,Connecticut,10000.0
Image,10,100.0,Oklahoma,10000.0
Image,10100,100.0,Idaho,9.900990099009901
Image,10,100.0,Oregon,10000.0
Video,10,100.0,Alaska,10000.0
Video,10,100.0,Oklahoma,10000.0
Text,10,100.0,Idaho,10000.0
Image,10100,100.0,South Dakota,9.900990099009901
Video,10,100.0,Arkansas,10000.0
Image,10100,100.0,Kansas,9.900990099009901
Image,10,100.0,Arkansas,10000.0
Image,10100,100.0,Oregon,9.900990099009901
Image,10100,100.0,New Mexico,9.900990099009901
Image,10100,100.0,Maryland,9.900990099009901
Image,10,100.0,South Dakota,10000.0
Video,10,100.0,Idaho,10000.0
Image,10100,100.0,Delaware,9.900990099009901
Image,10,100.0,Maryland,10000.0
Image,10100,100.0,Arkansas,9.900990099009901
Image,10100,100.0,Oklahoma,9.900990099009901
Video,10,100.0,Delaware,10000.0
Image,10,100.0,Kansas,10000.0
Image,10,100.0,Rhode Island,10000.0
Video,10,100.0,Kansas,10000.0
Video,10,100.0,Nebraska,10000.0
Image,10100,100.0,Nebraska,9.900990099009901
Video,10,100.0,Vermont,10000.0
Image,10100,100.0,Rhode Island,9.900990099009901
Image,10100,100.0,Vermont,9.900990099009901
Image,10,100.0,Hawaii,10000.0
Image,10,100.0,Vermont,10000.0
Video,10,100.0,Oregon,10000.0
Image,10100,100.0,Alaska,9.900990099009901
Image,10,100.0,Nebraska,10000.0
Video,10100,100.0,Arkansas,9.900990099009901
Image,1001,100.0,Kansas,99.9000999000999
Video,10100,100.0,Kansas,9.900990099009901
Image,1001,100.0,Alaska,99.9000999000999
Video,10100,100.0,Nebraska,9.900990099009901
Video,10100,100.0,New Mexico,9.900990099009901
Video,10100,100.0,Oregon,9.900990099009901
Image,1001,100.0,Oregon,99.9000999000999
Video,10100,100.0,Hawaii,9.900990099009901
Video,10100,100.0,Alaska,9.900990099009901
Video,10100,100.0,Oklahoma,9.900990099009901
Video,10100,100.0,Connecticut,9.900990099009901
Text,10100,100.0,Delaware,9.900990099009901
Text,1001,75000.0,Oregon,74925.07492507492
Image,10100,550.0,Vermont,54.45544554455446
Video,10,550.0,Delaware,55000.0
Video,10,550.0,Oregon,55000.0
Image,10,550.0,Delaware,55000.0
Image,10,550.0,New Mexico,55000.0
